Domain name,Domain type,Organization name,Suborganization name,City,State,Security contact email
alexandercityal.gov,City,City of Alexander City,,Alexander City,AL,support@alexandercityal.gov
alexandriaky.gov,City,City of Alexandria,,Alexandria,KY,(blank)
alexandrianh.gov,City,Town of Alexandria,,Alexandria,NH,klavelle@ccsnh.com
alexandrianj.gov,City,Alexandria Township,,Milford,NJ,(blank)
alexandriaoh.gov,City,"Village of Alexandria, Ohio",,ALEXANDRIA,OH,webguru@alexandriaoh.gov
alexandriatn.gov,City,Town of Alexandria,,Alexandria,TN,chiefvturocy@gmail.com
alexandriava.gov,City,City of Alexandria,,Alexandria,VA,security@alexandriava.gov
alfordma.gov,City,"Town of Alford, Massachusetts",,Alford,MA,(blank)
alfredme.gov,City,Town of Alfred,,Alfred,ME,(blank)
alfredvillage.gov,City,Village of Alfred,,Alfred,NY,(blank)
algonaiowa.gov,City,City of Algona,,Algona,IA,securitysupport@accesssystems.com
algonawa.gov,City,City Of Algona,,Algona,WA,(blank)
algoodtn.gov,City,City Of Algood,,Algood,TN,(blank)
alhambraca.gov,City,City of Alhambra,,Alhambra,CA,(blank)
aliquippapa.gov,City,City of Aliquippa,,Aliquippa,PA,(blank)
alisoviejo.gov,City,City of Aliso Viejo,,Aliso Viejo,CA,IAziz@AlisoViejo.gov
allegany.gov,City,Town and Village of Allegany,,Allegany,NY,(blank)
allendalemi.gov,City,Allendale Charter Township,,Allendale,MI,(blank)
allendalenj.gov,City,Borough of Allendale,,Allendale,NJ,jim@cobancomputers.com
allenstownnh.gov,City,Town of Allenstown,,Allenstown,NH,townadmin@allenstownnh.gov
allentownpa.gov,City,City of Allentown,,Allentown,PA,soc@allentownpa.gov
allentx.gov,City,City of Allen,,Allen,TX,italerts@cityofallen.org
allianceoh.gov,City,City of Alliance,,Alliance,OH,(blank)
almaarkansas.gov,City,City of Alma,,Alma,AR,administrator@cityofalma.org
almacenterwi.gov,City,Village of Alma Center,,Alma Center,WI,almacenterwigov@computerguts.net
almenatownship.gov,City,Almena Township,,Paw Paw,MI,markroman2005@comcast.net
almiratownshipmi.gov,City,Almira Township,,Lake Ann,MI,(blank)
almontmichigan.gov,City,Village of Almont,,Almont,MI,(blank)
alpharettaga.gov,City,City of Alpharetta,,Alpharetta,GA,domainregistration@alpharetta.ga.us
alpinenj.gov,City,Borough of Alpine New Jersey,,Alpine,NJ,(blank)
alpinetwp.gov,City,Township of Alpine,,Comstock Park,MI,(blank)
alpineut.gov,City,Alpine City Corporation,,Alpine,UT,(blank)
alpinewy.gov,City,Town of Alpine,,Alpine,WY,alpine@silverstar.com
alsteadnh.gov,City,Town of Alstead,,Alstead,NH,servicedesk@charlandtech.com
altamontks.gov,City,City of Altamont,,Altamont,KS,(blank)
altamontutah.gov,City,Town of Altamont,,Altamont,UT,(blank)
altamontvillageny.gov,City,Village of Altamont,,Altamont,NY,(blank)
altavistava.gov,City,Town of Altavista,,Altavista,VA,tcshelton@altavistava.gov
altontownshipil.gov,City,Alton Township Supervisor's Office,,Alton,IL,(blank)
alton-tx.gov,City,City of Alton,,Alton,TX,(blank)
altoonapa.gov,City,City of Altoona,,Altoona,PA,(blank)
altoona-wi.gov,City,City Of Altoona Emergency Services ,,Altoona,WI,apdcommandstaff@altoona-wi.gov
altoonawi.gov,City,"City of Altoona, Wisconsin",,Altoona,WI,(blank)
altusok.gov,City,City of Altus,,Altus,OK,(blank)
alvaok.gov,City,City of Alva,,Alva,OK,(blank)
alvin.gov,City,City of Alvin,,Alvin,TX,it@alvin.gov
alvin-tx.gov,City,"City of Alvin, Texas",,Alvin,TX,InformationTechnology@cityofalvin.com
alvo.gov,City,Village of Alvo,,Eagle,NE,villageofalvo@outlook.com
alvordtx.gov,City,City of Alvord,,Alvord,TX,cody@saltlogix.com
amadorcity.gov,City,City of Amador,,Amador City,CA,(blank)
amalgautah.gov,City,Amalga Town,,AMALGA,UT,help@askalltech.com
amarillo.gov,City,City of Amarillo ,,Amarillo,TX,jose.villarreal@amarillo.gov
ambertwpmi.gov,City,Amber Township,,Scottville,MI,(blank)
ameniany.gov,City,Town of Amenia,,Amenia,NY,(blank)
americancanyon.gov,City,City of American Canyon,,American Canyon,CA,rlecomte@dni.net
americanfork.gov,City,American Fork City,,American Fork,UT,george@americanfork.gov
americusga.gov,City,City of Americus,,Americus,GA,(blank)
amerywi.gov,City,City of Amery,,Amery,WI,dan@4thepoint.com
amesburyma.gov,City,Town of Amesbury,,Amesbury,MA,it@amesburyma.gov
amherstma.gov,City,Town of Amherst,,Amherst,MA,hannons@amherstma.gov
amherstnh.gov,City,Town of Amherst,,Amherst,NH,jstover@amherstnh.gov
amherstny.gov,City,"Town of Amherst, New York",,Williamsville,NY,(blank)
amherstva.gov,City,Town of Amherst,,Amherst,VA,townhall@amherstva.gov
amityoregon.gov,City,City of Amity,,Amity,OR,soc@datatelco.com
amityvillepdny.gov,City,Amityville Village Police Department,,Amityville,NY,amityvillepd@amityvillepd.com
amortownshipmn.gov,City,Anor Township,,Battle Lake,MN,(blank)
amsterdamnyfd.gov,City,City of Amsterdam,,Amsterdam,NY,(blank)
amsterdamny.gov,City,City of Amsterdam,,Amsterdam,NY,(blank)
amsterdamnypd.gov,City,City of Amsterdam,,Amsterdam,NY,(blank)
anacorteswa.gov,City,City of Anacortes,,Anacortes,WA,(blank)
anaheim.gov,City,City of Anaheim,,Anaheim,CA,coainfosec@anaheim.net
anchorageak.gov,City,Municipality of Anchorage,,Anchorage,AK,jon.rendulic@anchorageak.gov
ancramny.gov,City,Town Of Ancram,,Ancram,NY,(blank)
andalusiaal.gov,City,City of Andalusia,,Andalusia,AL,it@cityofandlausia.com
andersontx.gov,City,Town of Anderson,,aNDERSON,TX,townoffice@andersontx.gov
andesnewyork.gov,City,Town of Andes New York,,Andes,NY,(blank)
andoverks.gov,City,City of Andover,,Andover,KS,(blank)
andoverma.gov,City,Town of Andover,,Andover,MA,platform.team@andoverma.us
andovermn.gov,City,City of Andover,,Andover,MN,webmaster@andovermn.gov
andover-nh.gov,City,TOWN OF ANDOVER,,Andover,NH,(blank)
andrewsnc.gov,City,Town of Andrews,,Andrews,NC,abuse@andrewsnc.gov
angelfirenm.gov,City,Village of Angel Fire,,Angel Fire,NM,(blank)
angelscamp.gov,City,City of Angels ,,City of Angels Camp,CA,swong@coneth.com
ankenyiowa.gov,City,City of Ankeny,,Ankeny,IA,(blank)
annapolis.gov,City,City of Annapolis,,Annapolis,MD,(blank)
annapolismd.gov,City,City of Annapolis,,Annapolis,MD,(blank)
annapolismo.gov,City,City of Annapolis,,Annapolis,MO,(blank)
annatexas.gov,City,City of Anna,,Anna,TX,(blank)
annettatx.gov,City,Town of Annetta,,Aledo,TX,citysecretary@annettatx.gov
annistonal.gov,City,"City of Anniston, Alabama",,Anniston,AL,mbushard@annistonal.gov
anokawineandspirits.gov,City,City of Anoka,,Anoka,MN,admin@vpointusa.com
ansoniahousing.gov,City,Housing Authority of the City of Ansonia,,Ansonia,CT,(blank)
ansonmaine.gov,City,Town of Anson Maine,,Anson,ME,toasupport@btsmaine.com
antiochcaboard.gov,City,City of Antioch,,Antioch,CA,InformationSystems@antiochca.gov
antiochcacommission.gov,City,City of Antioch,,Antioch,CA,InformationSystems@antiochca.gov
antiochcacommittee.gov,City,City of Antioch,,Antioch,CA,InformationSystems@antiochca.gov
antiochca.gov,City,City of Antioch,,Antioch,CA,InformationSystems@antiochca.gov
antiochtownshipil.gov,City,Antioch Township,,Antioch,IL,(blank)
antrimnh.gov,City,Town of Antrim,,Antrim,NH,support@miradorit.com
antrimnhpd.gov,City,Antrim Police Department,,Antrim,NH,(blank)
antrimtownshipmi.gov,City,Antrim Township,,Morrice,MI,(blank)
apachejunctionaz.gov,City,City of Apache Junction,,Apache Junction,AZ,dwirthgen@apachejunctionaz.gov
apexnc.gov,City,"APEX, TOWN OF",,Apex,NC,erika.sacco@apexnc.org
apopka.gov,City,City of Apopka,,Apopka,FL,it_all@apopka.net
appletonmn.gov,City,City of Appleton,,Appleton,MN,noc@coordinated.com
appletonwi.gov,City,City of Appleton,,Appleton,WI,justin.marsh@appleton.org
applevalleyca.gov,City,Town of Apple Valley,,Apple Valley,CA,webmaster@applevalley.org
applevalleymn.gov,City,City of Apple Valley,,Apple Valley,MN,ITdept@ci.apple-valley.mn.us
applevalleyut.gov,City,Town of Apple Valley,,Apple Valley,UT,clerk@applevalleyut.gov
appomattoxva.gov,City,Town of Appomattox,,Appomattox,VA,(blank)
aptx.gov,City,City of Aransas Pass,,Aransas Pass,TX,doffalter@aransaspasstx.gov
aquinnah-ma.gov,City,Town of Aquinnah,,Aquinnah,MA,adminassistant@aquinnah-ma.gov
aragotownshipmn.gov,City,Arago Township,,Park Rapids,MN,(blank)
aransaspasstx.gov,City,City of Aransas Pass,,Aransas Pass,TX,jmartin@aptx.gov
arcadami.gov,City,Arcada Township,,Ithaca,MI,kps@shumakergroup.com
arcadenyfiredepartment.gov,City,Arcade Fire Department,,Arcade,NY,sysadmin@villageofarcade.org
arcadiaca.gov,City,City of Arcadia,,Arcadia,CA,wluo@arcadiaca.gov
arcadiacapolice.gov,City,City of Arcadia,,Arcadia,CA,(blank)
arcadia-fl.gov,City,City of Arcadia,,Arcadia,FL,service@vc3.com
archbaldboroughpa.gov,City,Archbald Borough,,Archbald,PA,support@ironnebula.com
archdale-nc.gov,City,City of Archdale,,Archdale,NC,_it@archdale-nc.gov
archerlodgenc.gov,City,Town of Archer Lodge,,Archer Lodge,NC,(blank)
arcoidaho.gov,City,City of Arco,,Arco,ID,rtorrence@atccomm.com
arcolapdtx.gov,City,Arcola Police Department,,Rosharon,TX,ArcolaPD@arcolapdtx.gov
arcolatexas.gov,City,City of Arcola,,Arcola,TX,help@penncomp.com
ardmoreok.gov,City,City of Ardmore,,Ardmore,OK,abuse@ardmorecity.org
ardsleyvillage.gov,City,Village of Ardsley,,ARDSLEY,NY,(blank)
argentinetownship.gov,City,Argentine Township,,Linden,MI,tech@tdaniels.com
argonnewi.gov,City,Town Of Argonne,,argonne,WI,info@naunkca.com
argosin.gov,City,Town of Argos,,Argos,IN,(blank)
argylewi.gov,City,Village of Argyle WI,,Argyle,WI,(blank)
arkadelphia.gov,City,City of Arkadelphia,,Arkadelphia,AR,(blank)
arkansascityks.gov,City,City of Arkansas City,,Arkansas City,KS,security@arkansascityks.gov
arkomaok.gov,City,Town of Arkoma,,Arkoma,OK,team@civicdynamics.us
arkwrightny.gov,City,Town of Arkwright,,Fredonia,NY,(blank)
arlingtonma.gov,City,Town of Arlington,,Arlington,MA,security@town.arlington.ma.us
arlingtonmn.gov,City,City of Arlington,,Arlington,MN,police@arlingtonmn.gov
arlingtonne.gov,City,Village of Arlington,,Arlington,NE,clerk@arlingtonne.gov
arlington-tx.gov,City,"City of Arlington, Texas",,Arlington,TX,itregistrar@arlingtontx.gov
arlingtontx.gov,City,"City of Arlington, Texas",,Arlington,TX,itregistrar@arlingtontx.gov
arlingtonwa.gov,City,City of Arlington Washington,,Arlington,WA,bterry@arlingtonwa.gov
armadatwp.gov,City,Armada Township,,Armada,MI,(blank)
arna.gov,City,Arna Township,,Markville,MN,(blank)
arpinvillagewi.gov,City,Village of Arpin,,Arpin,WI,(blank)
arrowsmithil.gov,City,Village of Arrowsmith,,Arrowsmith,IL,arrowsmith.village@gmail.com
arroyopr.gov,City,Municipal Government of Arroyo,,Arroyo,PR,(blank)
artesiaca.gov,City,City of Artesia,,Artesia,CA,(blank)
artesianm.gov,City,City of Artesia,,Artesia,NM,gromine@artesianm.gov
arthur-il.gov,City,"Village of Arthur, IL",,Arthur,IL,(blank)
arvadaco.gov,City,City of Arvada,,Arvada,CO,itsecurity@arvada.org
asburyparkfd.gov,City,Asbury Park Fire Department,,Asbury Park,NJ,(blank)
asburypark.gov,City,CITY OF ASBURY PARK,,ASBURY PARK,NJ,Joe.Dellaragione@asburypark.gov
asburyparkpd.gov,City,Asbury Park Police Department,,Asbury Park,NJ,(blank)
ashburnham-ma.gov,City,Town of Ashburnham,,Ashburnham,MA,(blank)
ashbyma.gov,City,Town of Ashby,,Ashby,MA,tabos@ashbyma.gov
ashdownarkansas.gov,City,City of Ashdown,,Ashdown,AR,(blank)
asheboronc.gov,City,City of Asheboro,,Asheboro,NC,netadmin@ci.asheboro.nc.us
ashevillenc.gov,City,City of Asheville,,Asheville,NC,pscruggs@ashevillenc.gov
ashfordct.gov,City,Town of Ashford,,Ashford,CT,(blank)
ashfordny.gov,City,Town of Ashford,,West Valley,NY,(blank)
ashgrovemo.gov,City,City of Ash Grove,,Ash Grove,MO,support@strongholddata.com
ashlandcitytn.gov,City,Town of Ashland City,,Ashland City,TN,jwheeler@ashlandcitytn.gov
ashlandky.gov,City,"The City of Ashland, KY",,Ashland,KY,support@ashlandky.gov
ashlandnychemung.gov,City,Town of Ashland in Chemung County,,Wellsburg,NY,(blank)
ashlandoregon.gov,City,"City of Ashland, Oregon",,Ashland,OR,(blank)
ashlandva.gov,City,"Town of Ashland, VA",,Ashland,VA,dougg@ashlandva.gov
ashmore.gov,City,Village of Ashmore,,Ashmore,IL,clerk@ashmore.gov
ashtonid.gov,City,City of Ashton ID,,Ashton,ID,david@funwinkstudios.com
ashvilleohio.gov,City,Village of Ashville,,Ashville,OH,agrube@ashvilleohio.gov
ashwaubenon.gov,City,Village of Ashwaubenon,,Ashwaubenon,WI,security@ashwaubenon.gov
aspen.gov,City,City of Aspen,,Aspen,CO,dnsadmins@aspen.gov
aspinwallpa.gov,City,Borough of Aspinwall,,Aspinwall,PA,aspinwallpa.com@gmail.com
assyriatwpmi.gov,City,Assyria Township,,Bellevue,MI,InfoAssyriaTwp@gmail.com
astoria.gov,City,CITY OF ASTORIA,,Astorai,OR,(blank)
atchisonkspolice.gov,City,Atchison Police Department,,Atchison,KS,mike.wilson@atchisonkspolice.gov
athelstanewiclerk.gov,City,Town of Athelstane,,Athelstane,WI,athelstane@centurytel.net
athensil.gov,City,City of Athens,,Athens,IL,security@athensil.com
athenstn.gov,City,City of Athens,,Athens,TN,technologymanager@cityofathenstn.com
athenstownshipmn.gov,City,Athens Township,,Isanti,MN,(blank)
athenstx.gov,City,City of Athens,,Athens,TX,webregistrar@athenstx.gov
athensvillageny.gov,City,"Village of Athens, NY",,Athens,NY,alerts@greenecomputer.org
athensvt.gov,City,Town of Athens,,Athens,VT,its@athensvt.gov
athertonca.gov,City,Town of Atherton,,Atherton,CA,(blank)
athol-ma.gov,City,Town of Athol,,Athol,MA,acraven@townofathol.org
atkinsar.gov,City,Atkins City Hall,,Atkins,AR,(blank)
atkinson-nh.gov,City,Town of Atkinson,,Atkinson,NH,assttownadmin@atkinson-nh.gov
atlantaga.gov,City,City of Atlanta,,Atlanta,GA,tmunyengango@atlantaga.gov
atlanticbeachny.gov,City,Inc Village of Atlantic Beach,,Atlantic Beach,NY,(blank)
atlantisfl.gov,City,City of Atlantis,,Atlantis,FL,mlegall@atlantisfl.gov
atmore.gov,City,City of Atmore,,Atmore,AL,support@hasserllc.com
atokatn.gov,City,Town of Atoka,,Atoka,TN,it@townofatoka.com
attica-in.gov,City,City of Attica,,Attica,IN,CLERK@ATTICA-IN.GOV
atwatermn.gov,City,City of Atwater,,Atwater,MN,Goldie.Smith@AtwaterMN.gov
aubreytx.gov,City,City of Aubrey,,Aubrey,TX,(blank)
auburnal.gov,City,"City of Auburn, AL",,,AL,webit@auburnalabama.org
auburnma.gov,City,Town of Auburn,,Auburn,MA,webmaster@town.auburn.ma.us
auburnmaine.gov,City,"City of Auburn, Maine",,Auburn,ME,jcunningham@auburnmaine.gov
auburnmi.gov,City,City of Auburn,,Auburn,MI,kps@shumakergroup.com
auburnnh.gov,City,Town of Auburn NH,,Auburn,NH,(blank)
auburnny.gov,City,City of Auburn,,Auburn,NY,(blank)
auburnwa.gov,City,City of Auburn,,Auburn,WA,servicedesk@auburnwa.gov
audubonparkky.gov,City,City of Audubon Park,,Louisville,KY,security@audubonparkky.gov
augustaga.gov,City,City of Augusta,,Augusta,GA,ITSecurityTeam@augustaga.gov
augustaky.gov,City,City of Augusta,,Augusta,KY,dpadgett@augustaky.com
augustamaine.gov,City,City of Augusta,,Augusta,ME,mike.schriver@augustamaine.gov
aureliustown.gov,City,Town of Aurelius,,Auburn,NY,(blank)
auroramo.gov,City,City of Aurora,,Aurora,MO,(blank)
aurorane.gov,City,City of Aurora,,Aurora,NE,(blank)
auroraoh.gov,City,City of Aurora Ohio,,Aurora,OH,barnhousel@auroraoh.com
auroratexas.gov,City,City of Aurora Texas,,Rhome,TX,mayor@auroratexas.gov
ausabletwp-mi.gov,City,AuSable Township,,AuSable,MI,(blank)
austellga.gov,City,City of Austell,,Austell,GA,cityhall@austellga.gov
austerlitzny.gov,City,"Town of Austerlitz, NY",,Spencertown,NY,(blank)
austin.gov,City,City of Austin,,Austin,TX,csirt@austintexas.gov
austintexas.gov,City,City of Austin,,Austin,TX,csirt@austintexas.gov
austintx.gov,City,City of Austin,,Austin,TX,csirt@austintexas.gov
avenalpd.gov,City,City of Avenal Police Department,,Avenal,CA,(blank)
aventurafl.gov,City,City of Aventura,,Aventura,FL,itinfo@cityofaventura.com
aventurapolice.gov,City,City of Aventura,,Aventura,FL,itinfo@cityofaventura.com
avocaarkansas.gov,City,Town of Avoca,,Avoca,AR,(blank)
avonct.gov,City,Town of Avon,,Avon,CT,(blank)
avondaleaz.gov,City,City of Avondale,,Avondale,AZ,(blank)
avondaleestatesga.gov,City,Avondale Estates,,Avondale Estates,GA,security@avondaleestates.org
avonindiana.gov,City,Town of Avon Indiana,,Avon,IN,aginogino@avonindiana.gov
avon-ma.gov,City,Town of Avon,,Avon,MA,(blank)
avon-ny.gov,City,Town of Avon,,Avon,NY,kmcdowell@avon-ny.gov
avontownshipmn.gov,City,Avon Township,,Avon,MN,(blank)
ayerfire.gov,City,Ayer Fire Department,,Ayer,MA,(blank)
ayerpolice.gov,City,Ayer Police Department,,Ayer,MA,(blank)
az-fhsd.gov,City,Fountain Hills Sanitary District,,Fountain Hills,AZ,fhsd@az-fhsd.gov
aztecnm.gov,City,City of Aztec,,Aztec,NM,admin@aztecnm.gov
azusaca.gov,City,City of Azusa,,Azusa,CA,(blank)
backusmi.gov,City,"Backus Township, Roscommon County, MI",,SAINT HELEN,MI,(blank)
badenpa.gov,City,Borough of Baden,,Baden,PA,(blank)
bagleytownshipmi.gov,City,Bagley Township,,Gaylord,MI,kps@shumakergroup.com
baileysharborwi.gov,City,Town of Baileys Harbor,,BAILEYS HARBOR,WI,admin@baileysharborwi.org
bainbridgewa.gov,City,City of Bainbridge Island,,Bainbridge Island,WA,mdalton@bainbridgewa.gov
bakercity.gov,City,City of Baker City,,Baker City,OR,(blank)
bakercitypd.gov,City,Baker City,,Baker City,OR,marlin@ms-tech-consulting.com
bakersfield.gov,City,City of Bakersfield,,Bakersfield,CA,(blank)
balchspringstx.gov,City,City of Balch Springs,,Balch Springs,TX,bservice@baxterit.com
baldknobar.gov,City,City of Bald Knob,,Bald Knob,AR,(blank)
baldwincity.gov,City,"City of Baldwin City, KS",,Baldwin City,KS,HELPDESK@BALDWINCITY.ORG
baldwinparkca.gov,City,City of Baldwin Park,,Baldwin Park,CA,itsupport@baldwinpark.com
baldwinsville.gov,City,Village of Baldwinsville,,Baldwinsville,NY,(blank)
baldwintwpiosco.gov,City,Baldwin Township,,TAWAS CITY,MI,(blank)
balharbourfl.gov,City,Bal Harbour Village,,Bal Harbour,FL,lansight@balharbourfl.gov
balkantownshipmn.gov,City,Balkan Township,,Chisholm,MN,(blank)
ballardcityut.gov,City,Ballard City,,Ballard,UT,(blank)
ballgroundga.gov,City,"City of Ball Ground, Georgia",,Ball Ground,GA,(blank)
ballstonspa.gov,City,Village of Ballston Spa,,Ballston Spa,NY,(blank)
baltimorecitybnmd.gov,City,Baltimore City Office of Information & Technology (BCIT),,Baltimore,MD,BobTaylor@baltimorecity.gov
baltimorecitycouncil.gov,City,Baltimore City Council,,Baltimore,MD,BobTaylor@baltimorecity.gov
baltimorecity.gov,City,Baltimore City Office of Information and Technology,,Baltimore,MD,bob.taylor@baltimorecity.gov
baltimorecitysheriff.gov,City,Baltimore City Sheriff's Office,,Baltimore,MD,(blank)
banderatx.gov,City,City of Bandera Texas,,Bandera,TX,allyson.wright@banderatx.gov
bangormaine.gov,City,City of Bangor,,Bangor,ME,(blank)
bankstownshipmi.gov,City,Banks Township,,Ellsworth,MI,(blank)
banningca.gov,City,City of Banning,,Banning,CA,support@banningca.gov
baraboowi.gov,City,City of Baraboo,,Baraboo,WI,saukmis@cityofbaraboo.com
bardstownky.gov,City,City Of Bardstown,,Bardstown,KY,noc@bardstowncable.net
barharbormaine.gov,City,Town of Bar Harbor,,Bar Harbor,ME,(blank)
baringplantation.gov,City,Baring Plantation  Maine,,Baring PLT,ME,(blank)
barlingar.gov,City,City of Barling,,Barling,AR,mgriffin@barlingar.com
barnesvillega.gov,City,"Barnesville, GA",,Barnesville,GA,(blank)
barnesvilleohio.gov,City,Village of Barnesville,,Barnesville,OH,webmaster@barnesvilleohio.com
barneveldwi.gov,City,Village of Barneveld,,Barneveld,WI,(blank)
barnsdallpdok.gov,City,Barnsdall Police Department,,Barnsdall,OK,(blank)
barnstable.gov,City,Town of Barnstable,,Hyannis,MA,(blank)
barnstablepolice.gov,City,Barnstable Police Department,,Hyannis,MA,(blank)
barnunnwy.gov,City,Town of Bar Nunn,,Bar Nunn,WY,peterboyer@townofbarnunn.com
barringtonhills-il.gov,City,Village of Barrington Hills,,Barrington Hills,IL,(blank)
barrington-il.gov,City,Village of Barrington,,Barrington,IL,jmcginn@barrington-il.gov
barringtontwpil.gov,City,Barrington Township,,Barrington,IL,info@barringtontwpil.gov
barrytownshipmn.gov,City,Barry Township,,Hinckley,MN,barrytwpclerk@gmail.com
bartlettil.gov,City,Village of Bartlett,,Bartlett,IL,bartlett@bartlettil.gov
bartlettnhpolice.gov,City,Bartlett Police Department,,Intervale,NH,p.murphy@townofbartlettnh.org
basslakewi.gov,City,Town of Bass Lake,,Hayward,WI,tammy@basslakewi.gov
bataviail.gov,City,City of Batavia,,Batavia,IL,exchgrp_ismonitor@cityofbatavia.net
bataviaoh.gov,City,Village of Batavia,,Batavia,OH,info@bataviavillage.org
batesvillearkansas.gov,City,City of Batesville,,Batesville,AR,it@batesvillearkansas.gov
batesvillepolicear.gov,City,City of Batesville,,Batesville,AR,(blank)
batonrougela.gov,City,City of Baton Rouge / Parish of East Baton Rouge,,Baton Rouge,LA,(blank)
battlecreekmi.gov,City,City of Battle Creek,,Battle Creek,MI,security@battlecreekmi.gov
battlefieldmo.gov,City,City of Battlefield,,Battlefield,MO,(blank)
